celltype_HCA_fine,n_cells,pct_ASTAblind,pct_noDOI,pct_unreachable,top_unreachable_src,top_src_pct
Immune_Neutrophils,45,24.4,2.2,26.7,Gaylord 2025,20.0
Gonadal_preGranulosa-OSEderived_late,50633,26.5,0.0,26.5,Lardenois 2026,26.5
Mesen_GonadalFibs_Undiff,26055,26.2,0.0,26.2,Lardenois 2026,26.2
Germcell_GGCs,1861,26.1,0.0,26.1,Lardenois 2026,26.1
Endo_ven_pcv,13904,0.9,23.4,24.3,Sanger_Uterus,11.5
Epi_EndoGland_nEMC,18196,0.4,23.5,23.9,Sanger_Endometrium,22.7
Immune_CD4_Th17,6802,3.3,20.1,23.4,Sanger_Endometrium,8.2
Epi_FallopianCil_Diff,12869,0.0,21.9,21.9,Sanger_FallopianTube,21.9
Gonadal_preGranulosa-CEderived,23076,21.8,0.0,21.8,Lardenois 2026,21.8
Immune_Mac_LYVE1hi,16783,5.4,15.5,20.9,Sanger_Endometrium,4.7
Immune_BasoEosino,40,2.5,17.5,20.0,Sanger_MenstrualFluid,15.0
Epi_reteOvarii_Fetal_Undiff,5796,19.8,0.0,19.8,Lardenois 2026,19.8
Epi_EndoMucinous,2110,3.6,15.8,19.4,Sanger_Endometrium,14.8
Mesen_Theca_Interna_Cyc,9366,1.4,17.6,19.0,Sanger_PediatricOvary,9.8
Meso_OSE,841,14.3,4.6,18.9,Gaylord 2025,14.3
Endo_ven_tpcv,16892,2.8,15.2,18.0,Sanger_Uterus,7.6
Epi_ParatubalIncl_squamous,922,0.0,17.0,17.0,Sanger_FallopianTube,17.0
Epi_FallopianSec_OVGP1lo,13587,0.0,16.9,16.9,Sanger_FallopianTube,16.9
Immune_Mast,5449,7.4,8.0,15.4,Huang 2023,7.4
Endo_lymp,10375,2.3,12.2,14.6,Sanger_Endometrium,3.2
Mesen_OvarianFibs_Fetal,32133,11.8,0.0,11.8,Lardenois 2026,11.8
Meso_serosa,453,0.0,11.3,11.3,Sanger_FallopianTube,8.4
Immune_Plasma_κ,2314,1.9,9.0,10.9,Sanger_MenstrualFluid,4.0
Immune_MEMP,250,0.8,10.0,10.8,Sanger_MenstrualFluid,7.2
Meso_Peritoneal_Fetal,4720,10.3,0.0,10.3,Lardenois 2026,10.3
Immune_NMP_Promyelocytes,286,7.7,2.1,9.8,Lardenois 2026,7.0
Germcell_Oogonia_premeiotic,3142,9.1,0.0,9.1,Lardenois 2026,9.1
Immune_LateErythroid,57,5.3,3.5,8.8,Lardenois 2026,5.3
Immune_Plasma_λ,1782,1.7,4.8,6.5,Sanger_Uterus,1.6
Mesen_AdvFibs_PI16hi,3032,0.0,5.8,5.9,Sanger_FallopianTube,5.8
Epi_EndoGlandLum_mSec,12046,2.5,3.3,5.9,Sanger_Endometrium,2.9
Mesen_UterotubalJunctionFibs,150,0.0,5.3,5.3,Sanger_FallopianTube,5.3
Immune_γδT_Vγ9Vδ2,781,2.9,1.5,4.5,Lardenois 2026,1.5
Mesen_Theca_Atretic,3239,0.4,3.6,4.0,Sanger_PediatricOvary,2.9
Immune_ImmatureB,387,0.0,3.6,3.6,Sanger_Endometrium,1.6
Immune_EarlyMidErythroid,55,3.6,0.0,3.6,Lardenois 2026,3.6
Immune_MegaPlat,177,3.4,0.0,3.4,Lardenois 2026,3.4
Mesen_FallopianFibs,64649,0.0,2.7,2.7,Sanger_FallopianTube,2.7
Immune_HPC,211,1.4,0.9,2.4,Lardenois 2026,1.4
Granulosa_sq_Fetal,3928,2.1,0.0,2.1,Lardenois 2026,2.1
Mesen_MesonephricFibs_Fetal,28521,1.2,0.0,1.2,Lardenois 2026,1.2
Immune_ProB,167,1.2,0.0,1.2,Lardenois 2026,1.2
Germcell_Oogonia_meiotic,1622,1.0,0.0,1.0,Lardenois 2026,1.0
Epi_MesonephricTub_Fetal,7359,0.9,0.0,0.9,Lardenois 2026,0.9
Mesen_EndoGlandBas,535,0.2,0.7,0.9,Sanger_Endometrium,0.4
Meso_ParamesoCoelEpi,8490,0.8,0.0,0.8,Lardenois 2026,0.8
Neural_Schwann_Cyc,2401,0.7,0.0,0.7,Lardenois 2026,0.7
Endo_cap_kidney,548,0.7,0.0,0.7,Lardenois 2026,0.7
Immune_LargePreB,305,0.7,0.0,0.7,Lardenois 2026,0.7
Mesen_PV_Fetal,28897,0.6,0.0,0.6,Lardenois 2026,0.6
Epi_CervixSquamous,1138,0.0,0.5,0.5,Sanger_Endometrium,0.4
Epi_Mullerian_Undiff,3605,0.5,0.0,0.5,Lardenois 2026,0.5
Immune_SmallPreB,281,0.0,0.4,0.4,Sanger_FallopianTube,0.4
Germcell_PrimaryOocyte_ZP4neg,760,0.4,0.0,0.4,Lardenois 2026,0.3
Neural_SympatheticNeurons_Immature_Cyc,394,0.3,0.0,0.3,Lardenois 2026,0.3
Neural_SympatheticNeurons_Immature,4469,0.2,0.0,0.2,Lardenois 2026,0.2
Mesen_FallopianLig_Fetal,18265,0.1,0.0,0.1,Lardenois 2026,0.1
Mesen_MullerianFib,2471,0.1,0.0,0.1,Lardenois 2026,0.1
Epi_UrethralSquamous_Fetal,1649,0.1,0.0,0.1,Lardenois 2026,0.1
Mesen_EpoophronFib_Fetal,13877,0.1,0.0,0.1,Lardenois 2026,0.1
Epi_Vagina_Lower_Fetal,6047,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_CervixFibs,452,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_VaginaSMCs_Lower_Fetal,1311,0.0,0.0,0.0,Gaylord 2025,0.0
Epi_GenitalSurf_Fetal,1482,0.0,0.0,0.0,Gaylord 2025,0.0
Epi_PrepuceSquamous_Fetal,2097,0.0,0.0,0.0,Gaylord 2025,0.0
Epi_UGS_Undiff,3302,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_CorpusSpongiosumFib_Fetal,10169,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_CorpusCavernosumFib_Fetal,9472,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_CervixVaginaSMCs_Fetal,11569,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_CervixFib_Fetal,11916,0.0,0.0,0.0,Gaylord 2025,0.0
Endo_cap_APCDD1+,2567,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_VaginaFibs,1463,0.0,0.0,0.0,Gaylord 2025,0.0
Neural_Melanocyte_Fetal,88,0.0,0.0,0.0,Gaylord 2025,0.0
Epi_Vagina_Upper_Fetal,980,0.0,0.0,0.0,Gaylord 2025,0.0
Epi_Uterocervical_Fetal,7640,0.0,0.0,0.0,Gaylord 2025,0.0
Neural_Schwann_Fetal,5801,0.0,0.0,0.0,Lardenois 2026,0.0
Neural_Schwann_Immature,35,0.0,0.0,0.0,Gaylord 2025,0.0
Neural_Schwann_Precursor,847,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_VaginaFibs_Upper_Fetal,7925,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_VaginaFib_Lower_Fetal,645,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_LabioScrotalSwelling_Fetal,6830,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_UterusSMCs_Fetal,7550,0.0,0.0,0.0,Gaylord 2025,0.0
Epi_EctocervixVaginaSquamous,646,0.0,0.0,0.0,Gaylord 2025,0.0
