celltype_HCA_fine,Organ,n_cells
Neural_Melanocyte_Fetal,Reproductive tract,88
Neural_Schwann,Ovary,560
Neural_Schwann,Uterus,117
Neural_Schwann,Fallopian Tube,73
Neural_Schwann,Vagina,31
Neural_Schwann_Cyc,Reproductive tract,1927
Neural_Schwann_Cyc,Ovary,457
Neural_Schwann_Cyc,Mesonephros,17
Neural_Schwann_Fetal,Reproductive tract,4967
Neural_Schwann_Fetal,Ovary,490
Neural_Schwann_Fetal,Mesonephros,344
Neural_Schwann_Immature,Reproductive tract,35
Neural_Schwann_Precursor,Reproductive tract,846
Neural_Schwann_Precursor,Ovary,1
Neural_Schwann_myelinating,Ovary,12
Neural_Schwann_myelinating,Fallopian Tube,5
Neural_Schwann_myelinating,Uterus,4
Neural_Schwann_myelinating,Vagina,1
Neural_SympatheticNeurons_Immature,Reproductive tract,3603
Neural_SympatheticNeurons_Immature,Ovary,681
Neural_SympatheticNeurons_Immature,Mesonephros,185
Neural_SympatheticNeurons_Immature_Cyc,Reproductive tract,336
Neural_SympatheticNeurons_Immature_Cyc,Ovary,56
Neural_SympatheticNeurons_Immature_Cyc,Mesonephros,2
Neural_SympatheticNeurons_Noradrenergic,Reproductive tract,236
Neural_SympatheticNeurons_Noradrenergic,Ovary,10
