celltype_HCA_fine,Organ,n_cells
Gonadal_SupportingUndiff,Reproductive tract,10
Gonadal_SupportingUndiff,Mesonephros,1
Gonadal_preGranulosa-CEderived,Ovary,23063
Gonadal_preGranulosa-CEderived,Reproductive tract,13
Gonadal_preGranulosa-OSEderived_early,Ovary,6655
Gonadal_preGranulosa-OSEderived_early,Reproductive tract,3
Gonadal_preGranulosa-OSEderived_early,Mesonephros,1
Gonadal_preGranulosa-OSEderived_late,Ovary,50611
Gonadal_preGranulosa-OSEderived_late,Reproductive tract,22
Granulosa_AMHneg_Atretic,Ovary,2960
Granulosa_AMHneg_Squamous,Ovary,5644
Granulosa_AMHpos_Atretic,Ovary,5440
Granulosa_AMHpos_Cyc,Ovary,8927
Granulosa_AMHpos_Steroidogenic,Ovary,15814
Granulosa_AMHpos_nonSteroidogenic,Ovary,694
Granulosa_AMHpos_nonSteroidogenic_early,Ovary,1267
Granulosa_sq_Fetal,Ovary,3928
Immune_ASDC,Uterus,49
Immune_ASDC,Fallopian Tube,12
Immune_ASDC,Ovary,4
Immune_ASDC,Cervix,2
Immune_ASDC,Vagina,2
Immune_BasoEosino,Uterus,20
Immune_BasoEosino,Fallopian Tube,11
Immune_BasoEosino,Ovary,7
Immune_BasoEosino,Cervix,2
Immune_CD4_NaiveT,Uterus,5251
Immune_CD4_NaiveT,Fallopian Tube,539
Immune_CD4_NaiveT,Ovary,132
Immune_CD4_NaiveT,Vagina,132
Immune_CD4_NaiveT,Cervix,89
Immune_CD4_NaiveT,Reproductive tract,23
Immune_CD4_NaiveT,Mesonephros,3
Immune_CD4_T_Unpolarised,Uterus,8752
Immune_CD4_T_Unpolarised,Fallopian Tube,2487
Immune_CD4_T_Unpolarised,Cervix,869
Immune_CD4_T_Unpolarised,Vagina,646
Immune_CD4_T_Unpolarised,Ovary,418
Immune_CD4_T_Unpolarised,Reproductive tract,5
Immune_CD4_Th17,Fallopian Tube,4471
Immune_CD4_Th17,Uterus,1749
Immune_CD4_Th17,Cervix,261
Immune_CD4_Th17,Ovary,209
Immune_CD4_Th17,Vagina,112
Immune_CD4_Th17_SCMlike,Uterus,4277
Immune_CD4_Th17_SCMlike,Fallopian Tube,660
Immune_CD4_Th17_SCMlike,Cervix,74
Immune_CD4_Th17_SCMlike,Ovary,68
Immune_CD4_Th17_SCMlike,Vagina,39
Immune_CD4_Th17_SCMlike,Reproductive tract,12
Immune_CD4_Treg,Uterus,2709
Immune_CD4_Treg,Cervix,364
Immune_CD4_Treg,Fallopian Tube,306
Immune_CD4_Treg,Vagina,268
Immune_CD4_Treg,Ovary,46
Immune_CD4_Treg,Reproductive tract,2
Immune_CD4_Treg_Cyc,Uterus,100
Immune_CD4_Treg_Cyc,Cervix,6
Immune_CD4_Treg_Cyc,Fallopian Tube,5
Immune_CD4_Treg_Cyc,Ovary,2
Immune_CD4_Treg_Cyc,Vagina,1
Immune_CD8_NaiveT,Uterus,2310
Immune_CD8_NaiveT,Fallopian Tube,143
Immune_CD8_NaiveT,Ovary,49
Immune_CD8_NaiveT,Reproductive tract,19
Immune_CD8_NaiveT,Cervix,17
Immune_CD8_NaiveT,Vagina,12
Immune_CD8_NaiveT,Mesonephros,1
Immune_CD8_T_EM,Uterus,2969
Immune_CD8_T_EM,Fallopian Tube,674
Immune_CD8_T_EM,Vagina,208
Immune_CD8_T_EM,Ovary,140
Immune_CD8_T_EM,Cervix,30
Immune_CD8_T_EM,Reproductive tract,1
Immune_CD8_T_RM,Fallopian Tube,10084
Immune_CD8_T_RM,Uterus,4033
Immune_CD8_T_RM,Cervix,685
Immune_CD8_T_RM,Ovary,216
Immune_CD8_T_RM,Vagina,112
Immune_CD8_T_RM,Reproductive tract,1
Immune_CD8_T_RM_GZMKhi,Uterus,17549
Immune_CD8_T_RM_GZMKhi,Fallopian Tube,5437
