celltype_HCA_fine,source_study,source_doi,author_label,n_cells
Endo_artery,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Art,1812
Endo_artery,celltype_Ulrich2024,10.1073/pnas.2404775121,Artery,1039
Endo_artery,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Endothelial,1016
Endo_artery,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Endothelial,946
Endo_artery,celltype_Weigert2025,10.1038/s41467-024-55440-2,endothelial cell,766
Endo_artery,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Arterial,659
Endo_artery,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,blood vessel endothelial cell,322
Endo_artery,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Endothelial SEMA3G,299
Endo_artery,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Endothelial,27
Endo_cap,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Cap,5398
Endo_cap,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Endothelial,2751
Endo_cap,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Endothelial,2142
Endo_cap,celltype_Ulrich2024,10.1073/pnas.2404775121,aPCV,1236
Endo_cap,celltype_Weigert2025,10.1038/s41467-024-55440-2,endothelial cell,1029
Endo_cap,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Venous,437
Endo_cap,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Endothelial ACKR1,366
Endo_cap,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,blood vessel endothelial cell,132
Endo_cap,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Endothelial,107
Endo_cap_APCDD1,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Venous,570
Endo_cap_APCDD1,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Endothelial ACKR1,265
Endo_cap_APCDD1,celltype_Ulrich2024,10.1073/pnas.2404775121,HEV,141
Endo_cap_APCDD1,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Cap,102
Endo_cap_APCDD1,celltype_Weigert2025,10.1038/s41467-024-55440-2,endothelial cell,2
Endo_cap_APCDD1+,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Endothelial,2174
Endo_cap_APCDD1+,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Endothelial,263
Endo_cap_APCDD1+,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Cap,251
Endo_cap_cycl,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Venous,691
Endo_cap_cycl,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Endothelial,606
Endo_cap_cycl,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Endothelial,596
Endo_cap_cycl,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Cycling,230
Endo_cap_cycl,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Endothelial ACKR1,183
Endo_cap_cycl,celltype_Ulrich2024,10.1073/pnas.2404775121,HMGB2-Prolif,120
Endo_cap_cycl,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Endothelial,26
Endo_cap_cycl,celltype_Weigert2025,10.1038/s41467-024-55440-2,endothelial cell,2
Endo_cap_cycl,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,endothelial cell of lymphatic vessel,1
Endo_cap_kidney,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Endothelial,316
Endo_cap_kidney,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Endothelial,184
Endo_cap_kidney,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Cap,5
Endo_cap_kidney,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Endothelial,2
Endo_cap_tip,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Cap_LY6H+_angiogenic,804
Endo_cap_tip,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Endothelial,365
Endo_cap_tip,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Endothelial,264
Endo_cap_tip,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Venous,200
Endo_cap_tip,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Endothelial ACKR1,43
Endo_cap_tip,celltype_Ulrich2024,10.1073/pnas.2404775121,aPCV,40
Endo_cap_tip,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Endothelial,8
Endo_cap_tip,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,blood vessel endothelial cell,2
Endo_cap_tip,celltype_Weigert2025,10.1038/s41467-024-55440-2,endothelial cell,1
Endo_lymp,celltype_Weigert2025,10.1038/s41467-024-55440-2,endothelial cell of lymphatic vessel,2781
Endo_lymp,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,endothelial cell of lymphatic vessel,2086
Endo_lymp,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Lymph,598
Endo_lymp,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Endothelial Lymphatic,506
Endo_lymp,celltype_Ulrich2024,10.1073/pnas.2404775121,L_Endo,487
Endo_lymp,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Endothelial,457
Endo_lymp,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Lymphatic,99
Endo_lymp,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Other,25
Endo_lymp,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Endothelial,6
Endo_ven_apcv,celltype_Weigert2025,10.1038/s41467-024-55440-2,endothelial cell,1168
Endo_ven_apcv,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,blood vessel endothelial cell,396
Endo_ven_apcv,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Endothelial ACKR1,276
Endo_ven_apcv,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Venous,263
Endo_ven_apcv,celltype_Ulrich2024,10.1073/pnas.2404775121,Capillary,197
