celltype_HCA_fine,Developmental_stage,n_cells
Immune_CD4_T_Unpolarised,Fetal,46
Immune_CD4_T_Unpolarised,pubertal,22
Immune_CD4_T_Unpolarised,postpubertal,2
Immune_CD4_Th17,Adult,6735
Immune_CD4_Th17,paediatric,36
Immune_CD4_Th17,pubertal,16
Immune_CD4_Th17,postpubertal,10
Immune_CD4_Th17,Fetal,5
Immune_CD4_Th17_SCMlike,Adult,5094
Immune_CD4_Th17_SCMlike,Fetal,23
Immune_CD4_Th17_SCMlike,paediatric,9
Immune_CD4_Th17_SCMlike,pubertal,4
Immune_CD4_Treg,Adult,3664
Immune_CD4_Treg,Fetal,27
Immune_CD4_Treg,paediatric,3
Immune_CD4_Treg,pubertal,1
Immune_CD4_Treg_Cyc,Adult,112
Immune_CD4_Treg_Cyc,Fetal,2
Immune_CD8_NaiveT,Adult,2485
Immune_CD8_NaiveT,Fetal,59
Immune_CD8_NaiveT,pubertal,4
Immune_CD8_NaiveT,paediatric,3
Immune_CD8_T_EM,Adult,3939
Immune_CD8_T_EM,paediatric,50
Immune_CD8_T_EM,pubertal,28
Immune_CD8_T_EM,Fetal,3
Immune_CD8_T_EM,postpubertal,2
Immune_CD8_T_RM,Adult,15103
Immune_CD8_T_RM,pubertal,11
Immune_CD8_T_RM,Fetal,8
Immune_CD8_T_RM,paediatric,8
Immune_CD8_T_RM,postpubertal,1
Immune_CD8_T_RM_GZMKhi,Adult,25372
Immune_CD8_T_RM_GZMKhi,paediatric,55
Immune_CD8_T_RM_GZMKhi,pubertal,39
Immune_CD8_T_RM_GZMKhi,Fetal,29
Immune_CD8_T_RM_GZMKhi,postpubertal,7
Immune_EarlyMidErythroid,Fetal,55
Immune_HPC,Fetal,207
Immune_HPC,Adult,4
Immune_ILC3_NCRhi,Adult,2333
Immune_ILC3_NCRhi,Fetal,177
Immune_ILC3_NCRhi,paediatric,4
Immune_ILC3_NCRhi,pubertal,3
Immune_ILC3_NCRlo,Adult,316
Immune_ILC3_NCRlo,Fetal,5
Immune_ImmatureB,Fetal,364
Immune_ImmatureB,Adult,22
Immune_ImmatureB,pubertal,1
Immune_LargePreB,Fetal,297
Immune_LargePreB,Adult,8
Immune_LateErythroid,Fetal,54
Immune_LateErythroid,Adult,3
Immune_MAIT,Adult,3690
Immune_MAIT,Fetal,28
Immune_MAIT,paediatric,12
Immune_MAIT,pubertal,3
Immune_MEMP,Fetal,220
Immune_MEMP,Adult,30
Immune_MO_Classical,Adult,12281
Immune_MO_Classical,Fetal,1396
Immune_MO_Classical,paediatric,74
Immune_MO_Classical,pubertal,8
Immune_MO_NonClassical,Adult,2089
Immune_MO_NonClassical,Fetal,18
Immune_MO_NonClassical,paediatric,15
Immune_Mac_Cyc,Adult,1595
Immune_Mac_Cyc,Fetal,898
Immune_Mac_Cyc,paediatric,59
Immune_Mac_Cyc,pubertal,8
Immune_Mac_LYVE1hi,Adult,11961
Immune_Mac_LYVE1hi,Fetal,4438
Immune_Mac_LYVE1hi,paediatric,306
Immune_Mac_LYVE1hi,pubertal,74
Immune_Mac_LYVE1hi,postpubertal,4
Immune_Mac_Transitional,Adult,1147
Immune_Mac_Transitional,Fetal,433
Immune_Mac_Transitional,paediatric,207
Immune_Mast,Adult,5333
Immune_Mast,Fetal,110
Immune_Mast,postpubertal,3
Immune_Mast,pubertal,2
Immune_Mast,paediatric,1
Immune_MegaPlat,Fetal,176
Immune_MegaPlat,Adult,1
Immune_MemoryB,Adult,4507
Immune_MemoryB,Fetal,27
Immune_MemoryB,paediatric,4
Immune_MemoryB,pubertal,4
Immune_NKT_γδT_Vδ1,Adult,2746
Immune_NKT_γδT_Vδ1,paediatric,51
Immune_NKT_γδT_Vδ1,pubertal,25
Immune_NKT_γδT_Vδ1,Fetal,12
Immune_NKT_γδT_Vδ1,postpubertal,2
Immune_NK_CD16hi,Adult,4957
Immune_NK_CD16hi,Fetal,137
Immune_NK_CD16hi,paediatric,49
Immune_NK_CD16hi,pubertal,29
Immune_NK_CD16hi,postpubertal,3
Immune_NK_CD56dim_CD16dim_SPTSSBhi,Adult,475
Immune_NK_CD56dim_CD16dim_SPTSSBhi,Fetal,5
Immune_NK_Cyc,Adult,3409
Immune_NK_Cyc,Fetal,90
Immune_NK_Cyc,paediatric,4
Immune_NMP_Promyelocytes,Fetal,274
Immune_NMP_Promyelocytes,Adult,9
Immune_NMP_Promyelocytes,paediatric,3
Immune_NaiveB,Adult,2051
